"","FighterID","Fighter","Result","Opponent","Event","Method","Round","Time","Date"
"2943",228,"Jens Pulver","win","Joe Jordan","EC 52 - Extreme Challenge 52Aug / 15 / 2003","KO (Punch)N/A","2","3:12",2003-08-15
"3040",228,"Jens Pulver","loss","Jason Maxwell","HOOKnSHOOT - Absolute Fighting Championships 3May / 24 / 2003","TKO (Punches)N/A","1","4:54",2003-05-24
"31116",228,"Jens Pulver","loss","Duane Ludwig","UCC 12 - AdrenalineJan / 25 / 2003","KO (Punch)N/A","1","1:13",2003-01-25
"3294",228,"Jens Pulver","win","Takehiro Murahama","UFO - LegendAug / 08 / 2002","Decision (Split)N/A","3","5:00",2002-08-08
"3334",228,"Jens Pulver","win","Robert Emerson","UW - Ultimate WrestlingJun / 29 / 2002","Decision (Unanimous)N/A","3","5:00",2002-06-29
"3431",228,"Jens Pulver","win","B.J. Penn","UFC 35 - ThrowdownJan / 11 / 2002","Decision (Majority)N/A","5","5:00",2002-01-11
"3529",228,"Jens Pulver","win","Dennis Hallman","UFC 33 - Victory in VegasSep / 28 / 2001","Decision (Unanimous)N/A","5","5:00",2001-09-28
"3628",228,"Jens Pulver","win","Caol Uno","UFC 30 - Battle on the BoardwalkFeb / 23 / 2001","Decision (Unanimous)John McCarthy","5","5:00",2001-02-23
"3727",228,"Jens Pulver","win","John Lewis","UFC 28 - High StakesNov / 17 / 2000","KO (Punch)John McCarthy","1","0:15",2000-11-17
"3825",228,"Jens Pulver","win","Dave Gries","Gladiators 10 - Gladiators 10Oct / 14 / 2000","KO (Punches)N/A","0","N/A",2000-10-14
"3924",228,"Jens Pulver","loss","Din Thomas","WEF - New Blood ConflictAug / 26 / 2000","Submission (Heel Hook)N/A","2","0:33",2000-08-26
"4019",228,"Jens Pulver","win","Joao Roque","UFC 26 - Ultimate Field of DreamsJun / 09 / 2000","Decision (Unanimous)John McCarthy","3","5:00",2000-06-09
"41103",228,"Jens Pulver","win","Eric Hibler","WEF 9 - World ClassMay / 13 / 2000","KO (Knees and Punches)N/A","1","1:54",2000-05-13
"4238",228,"Jens Pulver","win","David Velasquez","UFC 24 - First DefenseMar / 10 / 2000","TKO (Punches)John McCarthy","2","2:41",2000-03-10
"4322",228,"Jens Pulver","win","Phil Johns","WEF 8 - Goin' PlatinumJan / 15 / 2000","KO (Punch)Kip Koller","1","0:33",2000-01-15
"4422",228,"Jens Pulver","draw","Alfonso Alcarez","UFC 22 - There Can Be Only One ChampionSep / 24 / 1999","DrawJohn McCarthy","2","5:00",1999-09-24
"4522",228,"Jens Pulver","win","Joe Stevenson","BRI 3 - Bas Rutten Invitational 3Jun / 01 / 1999","KO (Punch)John Perretti","1","0:38",1999-06-01
"4620",228,"Jens Pulver","win","Ray Morales","BRI 3 - Bas Rutten Invitational 3Jun / 01 / 1999","Submission (Guillotine Choke)John Perretti","1","0:51",1999-06-01
"4719",228,"Jens Pulver","loss","David Harris","BRI 2 - Bas Rutten Invitational 2Apr / 24 / 1999","Submission (Toe Hold)John Perretti","1","11:57",1999-04-24
"4817",228,"Jens Pulver","win","Curtis Hill","BRI 2 - Bas Rutten Invitational 2Apr / 24 / 1999","TKO (Corner Stoppage)John Perretti","1","3:00",1999-04-24
"2469",229,"Alfonso Alcarez","loss","Shuichiro Katsumura","Shooto - Treasure Hunt 11Nov / 15 / 2002","Technical Submission (Triangle Choke)N/A","2","3:04",2002-11-15
"3295",229,"Alfonso Alcarez","loss","Travis Phippen","RFC 1 - The BeginningJul / 13 / 2002","Submission (Guillotine Choke)N/A","1","1:41",2002-07-13
"4239",229,"Alfonso Alcarez","loss","Jin Akimoto","Shooto - Treasure Hunt 6May / 05 / 2002","Submission (Kneebar)N/A","1","0:22",2002-05-05
"5183",229,"Alfonso Alcarez","draw","Jens Pulver","UFC 22 - There Can Be Only One ChampionSep / 24 / 1999","DrawJohn McCarthy","2","5:00",1999-09-24
"6162",229,"Alfonso Alcarez","win","Robert Loyer","EF 1 - Extreme Fighting 1Nov / 18 / 1995","TKO (Cut)Gokor Chivichyan","1","1:15",1995-11-18
"2470",230,"John Lewis","loss","Jens Pulver","UFC 28 - High StakesNov / 17 / 2000","KO (Punch)John McCarthy","1","0:15",2000-11-17
"3296",230,"John Lewis","loss","LaVerne Clark","WEF 8 - Goin' PlatinumJan / 15 / 2000","Decision (Unanimous)John McCarthy","3","5:00",2000-01-15
"4240",230,"John Lewis","win","Lowell Anderson","UFC 22 - There Can Be Only One ChampionSep / 24 / 1999","TKO (Corner Stoppage)John McCarthy","3","0:13",1999-09-24
"5184",230,"John Lewis","loss","Rumina Sato","VTJ 1997 - Vale Tudo Japan 1997Nov / 29 / 1997","Submission (Armbar)N/A","2","1:23",1997-11-29
"6163",230,"John Lewis","loss","Kenny Monday","EF 4 - Extreme Fighting 4Mar / 28 / 1997","TKO (Punches)John Donehue","2","4:23",1997-03-28
"7149",230,"John Lewis","draw","Johil de Oliveira","EF 3 - Extreme Fighting 3Oct / 18 / 1996","DrawN/A","3","5:00",1996-10-18
"8139",230,"John Lewis","draw","Rumina Sato","VTJ 1996 - Vale Tudo Japan 1996Jul / 07 / 1996","DrawN/A","3","8:00",1996-07-07
"9129",230,"John Lewis","win","Jim Teachout","EF 2 - Extreme Fighting 2Apr / 26 / 1996","TKO (Submission to Punches)John Donehue","1","0:52",1996-04-26
"10125",230,"John Lewis","draw","Carlson Gracie Jr","EF 1 - Extreme Fighting 1Nov / 18 / 1995","DrawGokor Chivichyan","1","20:00",1995-11-18
"11121",230,"John Lewis","win","Thomas Puckett","UFCF - United Full Contact Federation 1Sep / 08 / 1995","Submission (Armbar)N/A","1","1:45",1995-09-08
"2472",231,"Lowell Anderson","loss","John Lewis","UFC 22 - There Can Be Only One ChampionSep / 24 / 1999","TKO (Corner Stoppage)John McCarthy","3","0:13",1999-09-24
"2473",232,"Matt Hughes","loss","Josh Koscheck","UFC 135 - Jones vs. RampageSep / 24 / 2011","KO (Punches)Mario Yamasaki","1","4:59",2011-09-24
"3297",232,"Matt Hughes","loss","B.J. Penn","UFC 123 - Rampage vs. MachidaNov / 20 / 2010","KO (Punches)Dan Miragliotta","1","0:21",2010-11-20
"4241",232,"Matt Hughes","win","Ricardo Almeida","UFC 117 - Silva vs. SonnenAug / 07 / 2010","Technical Submission (Anaconda Choke)Josh Rosenthal","1","3:15",2010-08-07
"5185",232,"Matt Hughes","win","Renzo Gracie","UFC 112 - InvincibleApr / 10 / 2010","TKO (Punches)Herb Dean","3","4:40",2010-04-10
"6164",232,"Matt Hughes","win","Matt Serra","UFC 98 - Evans vs. MachidaMay / 23 / 2009","Decision (Unanimous)Steve Mazzagatti","3","5:00",2009-05-23
"7150",232,"Matt Hughes","loss","Thiago Alves","UFC 85 - BedlamJun / 07 / 2008","TKO (Flying Knee and Punches)Herb Dean","2","1:02",2008-06-07
"8140",232,"Matt Hughes","loss","Georges St. Pierre","UFC 79 - NemesisDec / 29 / 2007","Submission (Armbar)Steve Mazzagatti","2","4:54",2007-12-29
"9130",232,"Matt Hughes","win","Chris Lytle","UFC 68 - UprisingMar / 03 / 2007","Decision (Unanimous)Mark Matheny","3","5:00",2007-03-03
"10126",232,"Matt Hughes","loss","Georges St. Pierre","UFC 65 - Bad IntentionsNov / 18 / 2006","TKO (Head Kick and Punches)John McCarthy","2","1:25",2006-11-18
"11122",232,"Matt Hughes","win","B.J. Penn","UFC 63 - Hughes vs. Penn 2Sep / 23 / 2006","TKO (Punches)John McCarthy","3","3:53",2006-09-23
"12115",232,"Matt Hughes","win","Royce Gracie","UFC 60 - Hughes vs. GracieMay / 27 / 2006","TKO (Punches)N/A","1","4:39",2006-05-27
"13100",232,"Matt Hughes","win","Joe Riggs","UFC 56 - Full ForceNov / 19 / 2005","Submission (Kimura)John McCarthy","1","3:28",2005-11-19
"1496",232,"Matt Hughes","win","Frank Trigg","UFC 52 - Couture vs. Liddell 2Apr / 16 / 2005","Submission (Rear-Naked Choke)Mario Yamasaki","1","4:05",2005-04-16
"1587",232,"Matt Hughes","win","Georges St. Pierre","UFC 50 - The War of '04Oct / 22 / 2004","Submission (Armbar)John McCarthy","1","4:59",2004-10-22
"1686",232,"Matt Hughes","win","Renato Verissimo","UFC 48 - PaybackJun / 19 / 2004","Decision (Unanimous)N/A","3","5:00",2004-06-19
"1782",232,"Matt Hughes","loss","B.J. Penn","UFC 46 - SupernaturalJan / 31 / 2004","Submission (Rear-Naked Choke)N/A","1","4:39",2004-01-31
"1880",232,"Matt Hughes","win","Frank Trigg","UFC 45 - RevolutionNov / 21 / 2003","Submission (Rear-Naked Choke)N/A","1","3:54",2003-11-21
"1978",232,"Matt Hughes","win","Sean Sherk","UFC 42 - Sudden ImpactApr / 25 / 2003","Decision (Unanimous)N/A","5","5:00",2003-04-25
"2068",232,"Matt Hughes","win","Gil Castillo","UFC 40 - VendettaNov / 22 / 2002","TKO (Cut)N/A","1","5:00",2002-11-22
"21136",232,"Matt Hughes","win","Carlos Newton","UFC 38 - Brawl at the HallJul / 13 / 2002","TKO (Punches)N/A","4","3:27",2002-07-13
"22124",232,"Matt Hughes","win","Hayato Sakurai","UFC 36 - Worlds CollideMar / 22 / 2002","TKO (Punches)N/A","4","3:01",2002-03-22
"23107",232,"Matt Hughes","win","Carlos Newton","UFC 34 - High VoltageNov / 02 / 2001","KO (Slam)N/A","2","1:27",2001-11-02
"2474",232,"Matt Hughes","win","Steve Gomm","EC 43 - Extreme Challenge 43Sep / 08 / 2001","TKO (Punches)Lonnie Foster","2","3:18",2001-09-08
"2558",232,"Matt Hughes","win","Hiromitsu Kanehara","Rings - 10th AnniversaryAug / 11 / 2001","Decision (Majority)N/A","3","5:00",2001-08-11
"2653",232,"Matt Hughes","win","Chatt Lavender","EC 41 - Extreme Challenge 41Jul / 13 / 2001","Submission (Arm-Triangle Choke)N/A","3","2:31",2001-07-13
"2750",232,"Matt Hughes","win","Scott Johnson","EC 40 - Extreme Challenge 40Jun / 16 / 2001","KO (Punch)N/A","1","3:24",2001-06-16
"2846",232,"Matt Hughes","win","John Cronk","Gladiators 14 - Gladiators 14May / 11 / 2001","TKO (Submission to Punches)N/A","1","N/A",2001-05-11
"2944",232,"Matt Hughes","win","Bruce Nelson","FCC 4 - Freestyle Combat Challenge 4Mar / 31 / 2001","Submission (Guillotine Choke)N/A","1","3:04",2001-03-31
"3042",232,"Matt Hughes","win","Brett Al-azzawi","Rings USA - Battle of ChampionsMar / 17 / 2001","Submission (Armbar)N/A","1","3:27",2001-03-17
"31117",232,"Matt Hughes","loss","Jose Landi-Jons","Shidokan Jitsu - Warriors War 1Feb / 08 / 2001","KO (Knee)N/A","1","4:45",2001-02-08
"3298",232,"Matt Hughes","loss","Dennis Hallman","UFC 29 - Defense of the BeltsDec / 16 / 2000","Submission (Armbar)John McCarthy","1","0:20",2000-12-16
"3335",232,"Matt Hughes","win","Maynard Marcum","Rings Australia - Free Fight BattleNov / 12 / 2000","Submission (Keylock)N/A","1","6:29",2000-11-12
"3432",232,"Matt Hughes","win","Robbie Newman","Rings USA - Rising Stars FinalSep / 30 / 2000","Submission (Arm-Triangle Choke)N/A","1","1:40",2000-09-30
"3530",232,"Matt Hughes","win","Chris Haseman","Rings - Millennium Combine 3Aug / 23 / 2000","Decision (Unanimous)N/A","2","5:00",2000-08-23
"3629",232,"Matt Hughes","win","Joe Guist","EC 35 - Extreme Challenge 35Jun / 29 / 2000","Submission (Armbar)N/A","1","2:45",2000-06-29
"3728",232,"Matt Hughes","win","Marcelo Aguiar","UFC 26 - Ultimate Field of DreamsJun / 09 / 2000","TKO (Doctor Stoppage)John McCarthy","1","4:34",2000-06-09
"3826",232,"Matt Hughes","win","Shawn Peters","EC 32 - Extreme Challenge 32May / 21 / 2000","Submission (Arm-Triangle Choke)N/A","1","2:52",2000-05-21
"3925",232,"Matt Hughes","win","Alexandre Barros","WEF 9 - World ClassMay / 13 / 2000","Decision (Unanimous)N/A","3","5:00",2000-05-13
"4020",232,"Matt Hughes","win","Eric Davila","SB 17 - SuperBrawl 17Apr / 15 / 2000","Submission (Keylock)N/A","2","3:24",2000-04-15
"41104",232,"Matt Hughes","win","Jorge Pereira","WEF 8 - Goin' PlatinumJan / 15 / 2000","TKO (Doctor Stoppage)Kip Koller","1","6:00",2000-01-15
"4242",232,"Matt Hughes","win","Daniel Vianna","JKD - Challenge 4Nov / 20 / 1999","TKO (Cut)N/A","1","N/A",1999-11-20
"4323",232,"Matt Hughes","win","LaVerne Clark","EC 29 - Extreme Challenge 29Nov / 13 / 1999","Submission (Rear-Naked Choke)N/A","2","1:35",1999-11-13
"4423",232,"Matt Hughes","win","Tom Schmitz","EC 29 - Extreme Challenge 29Nov / 13 / 1999","TKO (Eye Injury)N/A","1","0:48",1999-11-13
"4523",232,"Matt Hughes","win","Joe Doerksen","EC 29 - Extreme Challenge 29Nov / 13 / 1999","TKO (Submission to Knees and Punches)N/A","2","0:25",1999-11-13
"4621",232,"Matt Hughes","win","Valeri Ignatov","UFC 22 - There Can Be Only One ChampionSep / 24 / 1999","Decision (Unanimous)John McCarthy","3","5:00",1999-09-24
"4720",232,"Matt Hughes","win","Akihiro Gono","Shooto - 10th Anniversary EventMay / 29 / 1999","Decision (Unanimous)N/A","3","5:00",1999-05-29
"4818",232,"Matt Hughes","win","Erick Snyder","JKD - Challenge 3Apr / 24 / 1999","TKO (Slam)N/A","1","N/A",1999-04-24
"4915",232,"Matt Hughes","win","Joe Stern","EC 23 - Extreme Challenge 23Apr / 02 / 1999","TKO (Punches)N/A","1","2:30",1999-04-02
"5010",232,"Matt Hughes","win","Ryan Stout","ES - Extreme ShootfightingDec / 11 / 1998","TKO (Corner Stoppage)N/A","2","5:00",1998-12-11
"5186",232,"Matt Hughes","loss","Dennis Hallman","EC 21 - Extreme Challenge 21Oct / 17 / 1998","Technical Submission (Guillotine Choke)N/A","1","0:17",1998-10-17
"5215",232,"Matt Hughes","win","Dave Menne","EC 21 - Extreme Challenge 21Oct / 17 / 1998","Decision (Unanimous)N/A","1","15:00",1998-10-17
"5314",232,"Matt Hughes","win","Victor Hunsaker","EC 21 - Extreme Challenge 21Oct / 17 / 1998","TKO (Punches)N/A","1","1:39",1998-10-17
"5413",232,"Matt Hughes","win","Craig Quick","JKD - Challenge 2Apr / 25 / 1998","TKO (Submission to Punches)N/A","1","N/A",1998-04-25
"5513",232,"Matt Hughes","win","Erick Snyder","JKD - Challenge 1Jan / 01 / 1998","KO (Slam)N/A","1","0:15",1998-01-01
"2475",233,"Steve Judson","loss","Tedd Williams","UFC 24 - First DefenseMar / 10 / 2000","TKO (Punches)John McCarthy","1","3:23",2000-03-10
"3299",233,"Steve Judson","loss","Brad Kohler","UFC 22 - There Can Be Only One ChampionSep / 24 / 1999","KO (Punch)John McCarthy","1","0:30",1999-09-24
"2476",234,"Katsuhisa Fujii","loss","Ryuta Noji","Deep - 46 ImpactFeb / 28 / 2010","TKO (Punches)Samio Kimura","1","3:18",2010-02-28
"3300",234,"Katsuhisa Fujii","loss","Mu Bae Choi","Pancrase - Changing Tour 3Jun / 07 / 2009","Decision (Unanimous)Ryogaku Wada","2","5:00",2009-06-07
"4243",234,"Katsuhisa Fujii","loss","Sang Soo Lee","Deep - GladiatorAug / 16 / 2008","TKO (Punches)N/A","1","4:36",2008-08-16
"5187",234,"Katsuhisa Fujii","loss","Jessie Gibbs","M-1 Challenge 5 - JapanJul / 17 / 2008","TKO (Knees and Punches)N/A","1","1:34",2008-07-17
"6165",234,"Katsuhisa Fujii","loss","Akhmed Sultanov","M-1 Challenge 2 - RussiaApr / 03 / 2008","Submission (Armbar)N/A","1","N/A",2008-04-03
"7151",234,"Katsuhisa Fujii","loss","Yasuhito Namekawa","Deep - 32 ImpactOct / 09 / 2007","Decision (Majority)N/A","2","5:00",2007-10-09
"8141",234,"Katsuhisa Fujii","win","Yuji Sakuragi","Deep - GloveJul / 26 / 2007","Decision (Majority)N/A","2","5:00",2007-07-26
"9131",234,"Katsuhisa Fujii","loss","Junpei Hamada","MARS 6 - Rapid FireDec / 22 / 2006","Decision (Split)N/A","2","5:00",2006-12-22
"10127",234,"Katsuhisa Fujii","loss","Elvis Sinosic","X-plosion - X-plosionAug / 18 / 2006","Submission (Armbar)N/A","1","N/A",2006-08-18
"11123",234,"Katsuhisa Fujii","loss","Igor Vovchanchyn","Pride - Bushido 5Oct / 14 / 2004","KO (Punches)N/A","1","4:02",2004-10-14
"12116",234,"Katsuhisa Fujii","win","Jin O Kim","Pride - Bushido 3May / 23 / 2004","Submission (Rear-Naked Choke)N/A","1","2:58",2004-05-23
"13101",234,"Katsuhisa Fujii","win","Hiroya Takada","Pancrase - 2002 Anniversary ShowSep / 29 / 2002","Decision (Majority)Yoshinori Umeki","3","5:00",2002-09-29
"1497",234,"Katsuhisa Fujii","loss","Mikhail Ilyukhin","Premium Challenge 1 - Guardian vs. ExplorerMay / 06 / 2002","Submission (Guillotine Choke)N/A","1","5:45",2002-05-06
"1588",234,"Katsuhisa Fujii","win","Mike  Thomas","TF - Tropical Fights 3Feb / 19 / 2002","Submission (Kneebar)N/A","1","0:00",2002-02-19
"1687",234,"Katsuhisa Fujii","loss","Hirotaka Yokoi","Rings - World Title Series Grand FinalFeb / 15 / 2002","Decision (Unanimous)N/A","3","5:00",2002-02-15
"1783",234,"Katsuhisa Fujii","loss","Kazuo Takahashi","Pancrase - Proof 7Dec / 01 / 2001","TKO (Punches)Soichi Hiroto","1","1:12",2001-12-01
"1882",234,"Katsuhisa Fujii","win","Osami Shibuya","Pancrase - 2001 Anniversary ShowSep / 30 / 2001","Decision (Unanimous)N/A","3","5:00",2001-09-30
"1979",234,"Katsuhisa Fujii","win","Jason DeLucia","Pancrase - 2001 Anniversary ShowSep / 30 / 2001","TKO (Knee Injury)N/A","1","5:00",2001-09-30
"2069",234,"Katsuhisa Fujii","loss","Antonio Rogerio Nogueira","Deep - 2nd ImpactAug / 18 / 2001","Technical Submission (Armbar)N/A","1","3:59",2001-08-18
"21137",234,"Katsuhisa Fujii","loss","Marcelo Alves Eneas Dantas","Deep - 1st ImpactJan / 08 / 2001","Submission (Rear-Naked Choke)N/A","2","2:27",2001-01-08
"22125",234,"Katsuhisa Fujii","draw","Jason DeLucia","Pancrase - Trans 7Dec / 04 / 2000","DrawYoshinori Umeki","1","15:00",2000-12-04
"23108",234,"Katsuhisa Fujii","win","Johnny Huskey","Pancrase - Trans 6Oct / 31 / 2000","Submission (Keylock)Kenji Kosuge","1","1:40",2000-10-31
"2477",234,"Katsuhisa Fujii","loss","Kenichi Yamamoto","UFC 23 - Ultimate Japan 2Nov / 19 / 1999","Submission (Kneebar)John McCarthy","1","4:15",1999-11-19
"2559",234,"Katsuhisa Fujii","win","Masutatsu Yano","UFC 23 - Ultimate Japan 2Nov / 19 / 1999","TKO (Punches)John McCarthy","2","3:12",1999-11-19
"2654",234,"Katsuhisa Fujii","loss","Kohei Sato","Shooto - Renaxis 2Jul / 16 / 1999","TKO (Punches)N/A","1","4:05",1999-07-16
"2752",234,"Katsuhisa Fujii","win","Daniel Quonian","Shooto - Reconquista 2Apr / 06 / 1997","TKO (Punches)N/A","1","0:44",1997-04-06
"2847",234,"Katsuhisa Fujii","loss","David Pa'aluhi","SB 2 - SuperBrawl 2Oct / 11 / 1996","TKO (Punches)N/A","1","0:55",1996-10-11
"2945",234,"Katsuhisa Fujii","loss","Ryuta Sakurai","Lumax Cup - Tournament of J '96Mar / 30 / 1996","DecisionN/A","2","3:00",1996-03-30
"2478",235,"Masutatsu Yano","draw","Takahiro Oba","Deep - 13th ImpactJan / 22 / 2004","DrawYoshinori Umeki","2","5:00",2004-01-22
"3301",235,"Masutatsu Yano","win","Masato Nishiguchi","GCM - Demolition 030721Jul / 21 / 2003","Decision (Unanimous)N/A","2","5:00",2003-07-21
"4244",235,"Masutatsu Yano","win","Hiroyuki Ito","Rings - World Title Series Grand FinalFeb / 15 / 2002","Decision (Majority)N/A","3","5:00",2002-02-15
"5188",235,"Masutatsu Yano","loss","Yasuhito Namekawa","Rings - World Title Series 2Jun / 15 / 2001","Submission (Guillotine Choke)N/A","2","0:22",2001-06-15
"6166",235,"Masutatsu Yano","loss","Kazuo Takahashi","Pancrase - 2000 Neo-Blood Tournament Second RoundAug / 27 / 2000","Decision (Unanimous)Soichi Hiroto","1","10:00",2000-08-27
"7152",235,"Masutatsu Yano","loss","Daisuke Ishii","Pancrase - Trans 1Jan / 23 / 2000","KO (Punches)Yoshinori Umeki","1","0:06",2000-01-23
"8142",235,"Masutatsu Yano","loss","Katsuhisa Fujii","UFC 23 - Ultimate Japan 2Nov / 19 / 1999","TKO (Punches)John McCarthy","2","3:12",1999-11-19
"2479",236,"Kenichi Yamamoto","loss","Kazuo Takahashi","U-Spirits - AgainMar / 09 / 2013","KO (Knee)N/A","1","6:29",2013-03-09
"3302",236,"Kenichi Yamamoto","loss","Keiichiro Yamamiya","Grabaka - Grabaka Live! 2Oct / 27 / 2012","Decision (Unanimous)N/A","2","5:00",2012-10-27
"4245",236,"Kenichi Yamamoto","loss","Sanae Kikuta","Grabaka Live - 1st Cage AttackOct / 15 / 2011","TKO (Punches)Yoshinori Umeki","1","2:18",2011-10-15
"5189",236,"Kenichi Yamamoto","loss","Diego Lionel Visotzky","MARS - Bodog FightOct / 04 / 2006","TKO (Corner Stoppage)N/A","2","N/A",2006-10-04
"6167",236,"Kenichi Yamamoto","loss","Kaream Ellington","MFC - USA vs. Russia 3Jun / 03 / 2006","TKO (Punches)N/A","1","4:51",2006-06-03
"7153",236,"Kenichi Yamamoto","win","German Reyes","RFN 2 - Ryukyu Fight Night 2Nov / 13 / 2005","KON/A","2","2:20",2005-11-13
"8143",236,"Kenichi Yamamoto","loss","Ikuhisa Minowa","Pride - Bushido 4Jul / 19 / 2004","TKO (Punches)N/A","1","3:23",2004-07-19
"9132",236,"Kenichi Yamamoto","loss","Alexander Otsuka","Pride 25 - Body BlowMar / 16 / 2003","Decision (Unanimous)N/A","3","5:00",2003-03-16
"10128",236,"Kenichi Yamamoto","loss","Kevin Randleman","Pride 23 - Championship Chaos 2Nov / 24 / 2002","TKO (Knees)N/A","3","1:16",2002-11-24
"11124",236,"Kenichi Yamamoto","loss","Genki Sudo","Rings - World Title Series 5Dec / 21 / 2001","Submission (Rear-Naked Choke)N/A","2","1:46",2001-12-21
"12117",236,"Kenichi Yamamoto","draw","Akira Yasumura","Club Fight - Club Fight NagoyaMar / 04 / 2001","DrawN/A","1","10:00",2001-03-04
"13102",236,"Kenichi Yamamoto","draw","Kenji Akiyama","Club Fight - Club Fight OsakaJan / 27 / 2001","DrawN/A","1","10:00",2001-01-27
"1498",236,"Kenichi Yamamoto","loss","Pat Miletich","UFC 29 - Defense of the BeltsDec / 16 / 2000","Submission (Guillotine Choke)John McCarthy","2","1:58",2000-12-16
"1589",236,"Kenichi Yamamoto","win","Tatsuya Kurahashi","Club Fight - Round 1Nov / 12 / 2000","KO (Punches)N/A","1","8:00",2000-11-12
"1688",236,"Kenichi Yamamoto","win","Katsuhisa Fujii","UFC 23 - Ultimate Japan 2Nov / 19 / 1999","Submission (Kneebar)John McCarthy","1","4:15",1999-11-19
"1784",236,"Kenichi Yamamoto","win","Daiju Takase","UFC 23 - Ultimate Japan 2Nov / 19 / 1999","Decision (Unanimous)John McCarthy","3","5:00",1999-11-19
"1883",236,"Kenichi Yamamoto","loss","Kiyoshi Tamura","Rings - World Mega Battle TournamentDec / 23 / 1998","TKON/A","2","1:26",1998-12-23
